seed,average_chr,average_local_rsu_chr,method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,round,physical_tick_start,physical_tick_end,decision_interval_ticks,chr,local_rsu_chr,round_delay_ms,average_delay_ms,latency_scope,latency_request_count,excluded_not_covered_request_count,mrsu_average_delay_ms,frsu_average_delay_ms,mbs_average_delay_ms,mrsu_average_rate_mbps,frsu_average_rate_mbps,mbs_average_rate_mbps,average_service_distance_m,mrsu_average_distance_m,frsu_average_distance_m,mbs_average_distance_m,mrsu_latency_request_count,frsu_latency_request_count,mbs_latency_request_count,request_count,hit_count,mrsu_hit_count,frsu_hit_count,mbs_miss_count,not_covered_count,not_cached_count,mrsu_position,mrsu_speed,mrsu_covered_count,frsu_covered_count,selected_hotspot_id,selected_hotspot_position,lambda_smooth,path_plan_status,path_plan_solver,decision_request_count,evaluation_request_count,decision_request_source,uses_proposed_miss_feedback,decision_policy,fallback_to_topk,fallback_reason,solver_status
42,0.2759162828056179,0.36536964980544745,thompson_sampling,Thompson Sampling,150,150,150,8,80,89,10,0.4195906432748538,0.42205882352941176,56.38391686211997,55.054928371753974,rsu_covered_requests_only,680,4,31.442807508692617,31.820636404291836,74.54791503479805,27.474677784423424,27.921306496841098,25.373681145008273,241.8776519226679,128.70640607362174,147.37663993752778,322.0539760899786,235,52,393,684,287,235,52,397,4,393,245.39987614281245,30.0,41,12,7,800.0,1.8080389845437557,fallback: No module named 'cvxpy',heuristic,680,684,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2759162828056179,0.36536964980544745,thompson_sampling,Thompson Sampling,150,150,150,9,90,99,10,0.35051546391752575,0.4524714828897338,51.58085591815308,55.054928371753974,rsu_covered_requests_only,526,153,33.215466344874635,33.51732530279521,66.73579925261119,26.009344631430043,25.500724371227225,31.124726284414642,185.8868881206718,169.8541107746779,171.13987370357805,199.0424436305317,217,21,288,679,238,217,21,441,153,288,545.3998761428124,30.0,34,21,1,150.0,1.7759801610143438,fallback: No module named 'cvxpy',heuristic,680,679,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,0,0,9,10,0.0662739322533137,0.19736842105263158,58.20862283796595,52.55205810435544,rsu_covered_requests_only,228,451,34.29925310513484,29.738306720754018,64.86059538383046,24.774097552934656,29.18651903398015,35.24575916614139,164.7419424384955,190.83210694069632,102.32612754119967,173.31914439907123,14,31,183,679,45,14,31,634,451,183,369.87461504619444,30.0,7,17,6,650.0,1.3370588235294119,fallback: No module named 'cvxpy',heuristic,680,679,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,1,10,19,10,0.08208955223880597,0.3525641025641026,55.62845845968875,52.55205810435544,rsu_covered_requests_only,156,514,27.846622490277284,34.54517319614181,69.49705761717593,31.20332164955407,24.5815517911195,27.248045350161963,199.02219486354124,70.47073787847823,198.6637316304661,244.90994984265706,36,19,101,670,55,36,19,615,514,101,669.8746150461944,30.0,13,13,1,900.0,1.1921041769105354,fallback: No module named 'cvxpy',heuristic,680,670,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,2,20,29,10,0.20444444444444446,0.28105906313645623,60.28340221299164,52.55205810435544,rsu_covered_requests_only,491,184,28.995082926776455,32.04114066240065,72.09227255988147,31.47463514432357,26.779952793606878,26.82142277440464,236.68012197600902,103.64763202188236,139.52621314447165,283.7068447484243,89,49,353,675,138,89,49,537,184,353,969.8746150461944,30.0,22,13,1,150.0,1.1271041769105354,fallback: No module named 'cvxpy',heuristic,680,675,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,3,30,39,10,0.2844702467343977,0.2844702467343977,55.03915123570703,52.55205810435544,rsu_covered_requests_only,689,0,32.009178169067994,27.445301259378684,64.91715756434195,26.937204745736782,31.94314514329283,36.70804132055037,156.04522820536343,139.6494991828411,66.58579658120462,174.12338579429246,118,78,493,689,196,118,78,493,0,493,229.87461504619432,14.0,36,33,2,150.0,0.7738688827928885,fallback: No module named 'cvxpy',heuristic,680,689,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,4,40,49,10,0.37091988130563797,0.3980891719745223,48.9522977072701,52.55205810435544,rsu_covered_requests_only,628,46,29.762132999044773,30.81058953566463,61.447273270646605,29.61316567863628,28.52695356553948,41.608725405641565,119.98971646921053,106.82353885587982,126.20761704359944,125.05658115705337,179,71,378,674,250,179,71,424,46,378,503.03354997068516,30.0,40,40,6,550.0,1.0764571180870064,fallback: No module named 'cvxpy',heuristic,680,674,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,5,50,59,10,0.475482912332838,0.5228758169934641,48.11792489334971,52.55205810435544,rsu_covered_requests_only,612,61,30.427223081151173,31.475704259128907,67.14592647590368,28.577696049231964,27.823148128014054,32.61041162596314,162.03227374416554,112.32203929622588,137.29206907233834,207.9578629418691,220,100,292,673,320,220,100,353,61,292,803.0335499706852,30.0,39,42,7,350.0,1.81576226739105,fallback: No module named 'cvxpy',heuristic,680,673,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,6,60,69,10,0.4737609329446064,0.4737609329446064,53.54334650407086,52.55205810435544,rsu_covered_requests_only,686,0,32.59708094950865,30.879110300559717,72.95758160423635,26.77710091475414,28.534359226796088,26.92796336184679,227.0059085162488,159.4176097564432,128.00281203702048,298.0356271592108,208,117,361,686,325,208,117,361,0,361,103.03354997068527,30.0,34,29,4,600.0,1.6007622673910507,fallback: No module named 'cvxpy',heuristic,680,686,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
42,0.2649298568957622,0.40913221263062244,thompson_sampling,Thompson Sampling,200,200,200,7,70,79,10,0.22448979591836735,0.4782608695652174,52.44548873638257,52.55205810435544,rsu_covered_requests_only,322,364,31.98909956067473,33.81610326831625,70.34892709270977,27.72820411928667,25.193910343696672,28.017509299755574,213.2828481704342,153.091319377962,178.13857787056844,256.82933193006164,76,78,168,686,154,76,78,532,364,168,403.03354997068527,30.0,13,16,4,950.0,1.662821090920462,fallback: No module named 'cvxpy',heuristic,680,686,predicted_history_signal_no_proposed_feedback,False,thompson_hotspot,,,
