method,method_label,rsu_cache_capacity,mrsu_cache_capacity,frsu_cache_capacity,seed_count,seeds,achr_mean,achr_std,achr_min,achr_max,average_delay_ms_mean,average_delay_ms_std,mrsu_average_delay_ms_mean,frsu_average_delay_ms_mean,mbs_average_delay_ms_mean,mrsu_average_rate_mbps_mean,frsu_average_rate_mbps_mean,mbs_average_rate_mbps_mean,mrsu_hit_count_mean,frsu_hit_count_mean,mbs_miss_count_mean,not_covered_count_mean,not_cached_count_mean,cache_update_count_mean,direct_llm_fallback_count_mean
static_mrsu,Static mRSU,150,150,150,1,42,0.4478466176920312,0.0,0.4478466176920312,0.4478466176920312,53.44074391343034,0.0,30.59439646992488,31.418119002590252,71.7565096264793,28.8765359851236,27.928403754716356,28.215607144265572,2022.0,1022.0,3751.0,435.0,3316.0,10.0,0.0
static_mrsu,Static mRSU,200,200,200,1,42,0.5162839745932425,0.0,0.5162839745932425,0.5162839745932425,50.759149505472145,0.0,30.676885850631976,31.395094314377765,71.95073238644873,28.774982629142546,27.92355854059949,28.034227630584134,2349.0,1160.0,3286.0,435.0,2851.0,10.0,0.0
static_mrsu,Static mRSU,250,250,250,1,42,0.5678707451098923,0.0,0.5678707451098923,0.5678707451098923,48.591674453670706,0.0,30.564543036990685,31.439972528245974,71.92027073868796,28.937633616343597,27.8882925975185,28.064281040029368,2586.0,1274.0,2935.0,435.0,2500.0,10.0,0.0
static_mrsu,Static mRSU,300,300,300,1,42,0.6136993963420281,0.0,0.6136993963420281,0.6136993963420281,46.739790073611516,0.0,30.56319481199325,31.43232837989179,71.99732891248861,28.94082530894967,27.90116420229686,27.93781696556436,2794.0,1377.0,2624.0,435.0,2189.0,10.0,0.0
static_mrsu,Static mRSU,350,350,350,1,42,0.6548096721427785,0.0,0.6548096721427785,0.6548096721427785,45.06701578926809,0.0,30.539956071847495,31.420085263467563,72.07850594267205,28.952959770708013,27.90270426377254,27.824398754655007,2969.0,1481.0,2345.0,435.0,1910.0,10.0,0.0
static_mrsu,Static mRSU,400,400,400,1,42,0.6972637429514298,0.0,0.6972637429514298,0.6972637429514298,43.37522240365873,0.0,30.560481637616935,31.442954985509154,72.21513431738363,28.907410846131278,27.875658907503727,27.69824097766373,3160.0,1578.0,2057.0,435.0,1622.0,10.0,0.0
static_mrsu_llm,Static mRSU + LLM,50,50,50,1,42,0.19070820401740027,0.0,0.19070820401740027,0.19070820401740027,63.66726813802186,0.0,30.468774993368154,31.479546742116504,71.41885793156898,29.12996517439818,27.870283962283406,28.625729483968822,901.0,395.0,5499.0,435.0,5064.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,100,100,100,1,42,0.28864924535082837,0.0,0.28864924535082837,0.28864924535082837,59.88337256499202,0.0,30.4034893266762,31.410394178561383,71.70745149539276,29.196338724570243,27.867215970766967,28.372757260584223,1273.0,689.0,4833.0,435.0,4398.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,150,150,150,1,42,0.3405425339837752,0.0,0.3405425339837752,0.3405425339837752,57.742675659416356,0.0,30.322273773300136,31.523747638634784,71.70193376874718,29.29995700556114,27.8389553773048,28.406899579964627,1532.0,783.0,4480.0,435.0,4045.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,200,200,200,1,42,0.39621103923995893,0.0,0.39621103923995893,0.39621103923995893,55.55658705408284,0.0,30.509876880246217,31.290343551461618,71.81524544642808,28.963158029764156,28.054206374142236,28.169865935855952,1774.0,918.0,4103.0,435.0,3668.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,250,250,250,1,42,0.2835286377482094,0.0,0.2835286377482094,0.2835286377482094,60.2513837560282,0.0,30.583701292391595,31.306672793647433,71.88797285052691,28.903336866249592,27.99685610191389,28.161068143497396,1204.0,723.0,4868.0,435.0,4433.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,300,300,300,1,42,0.44024018450045455,0.0,0.44024018450045455,0.44024018450045455,53.934800431597154,0.0,30.48571113990639,31.29656628209772,72.19733522354852,29.16643521990044,28.030867514935455,27.753674646490087,1918.0,1078.0,3799.0,435.0,3364.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,350,350,350,1,42,0.5081272539031728,0.0,0.5081272539031728,0.5081272539031728,50.15494952603574,0.0,30.354569114353296,31.20673244894359,70.46055608750916,29.189448592305965,28.050998310721244,29.65785262780391,2671.0,786.0,3338.0,435.0,2903.0,0.0,0.0
static_mrsu_llm,Static mRSU + LLM,400,400,400,1,42,0.3938564414771085,0.0,0.3938564414771085,0.3938564414771085,55.5285986445528,0.0,30.572657304976808,31.307676304955113,71.59013699343218,28.91103204430117,28.016631415380107,28.533463783070893,1881.0,794.0,4120.0,435.0,3685.0,0.0,0.0
